50	
33	15
15	5
5	9
9	35
35	28
28	10
10	22
22	42
42	41
41	24
24	34
34	19
19	43
43	20
20	25
25	1
1	2
2	47
47	45
45	0
0	49
49	3
3	39
39	21
21	23
23	27
27	6
6	17
17	18
18	14
14	36
36	7
7	38
38	30
30	16
16	40
40	31
31	26
26	37
37	8
8	32
32	12
12	13
13	48
48	44
44	46
46	4
4	11
11	29
32	17
3	27
24	42
35	13
9	0
4	29
12	4
14	42
25	11
31	22
35	1
45	6
48	14
12	20
15	29
2	5
16	24
26	44
45	41
33	6
25	0
5	42
11	21
7	22
11	22
28	25
2	38
12	44
28	18
19	40
11	42
14	38
48	22
6	11
25	19
35	34
48	35
36	21
48	21
0	34
35	19
28	8
34	29
31	32
16	49
49	19
2	15
27	35
30	24
47	25
44	25
31	47
46	35
4	18
21	32
42	8
18	38
10	31
37	3
29	9
19	11
3	47
27	31
27	21
28	14
40	6
43	36
10	13
23	22
47	38
16	19
22	32
14	34
35	22
41	6
19	23
22	33
3	31
21	18
10	21
18	29
13	39
24	9
17	42
2	16
29	1
41	37
11	44
29	49
35	24
39	6
27	46
32	2
14	17
28	32
49	46
29	42
28	1
26	32
46	23
3	26
6	12
25	45
47	12
15	1
25	27
33	35
46	18
44	6
26	24
18	23
39	17
40	38
19	5
18	44
8	2
24	32
3	8
14	12
23	31
30	0
40	14
21	41
23	0
24	29
10	48
13	4
7	14
18	49
21	44
48	29
19	47
36	0
10	7
49	11
12	45
25	18
8	10
4	26
23	1
33	24
31	9
22	43
38	16
18	10
19	7
35	23
17	46
5	47
0	17
11	31
7	16
37	16
35	40
11	37
42	25
35	25
42	20
0	7
14	0
34	7
9	3
2	14
46	20
2	10
38	25
45	9
41	32
36	44
9	47
38	42
8	19
34	20
27	28
3	20
21	0
42	31
19	14
33	38
6	10
14	39
19	31
24	31
2	37
46	5
43	8
22	1
12	48
48	2
41	39
17	31
45	24
15	41
1	14
5	45
1	43
0	15
44	32
23	7
27	11
12	10
45	17
26	33
28	12
20	22
26	46
23	37
32	47
36	39
1	30
24	1
16	21
35	14
46	11
33	45
13	32
14	10
17	5
25	43
25	30
27	42
48	26
8	18
3	25
32	14
32	4
25	7
18	24
43	47
47	30
40	12
31	5
13	41
30	7
0	24
12	24
39	23
32	27
15	46
7	1
28	17
9	10
3	4
30	2
14	26
43	35
14	47
44	7
39	47
37	24
12	41
18	9
45	23
43	21
1	46
36	48
44	30
5	23
6	1
44	20
5	29
33	10
31	28
30	35
6	21
35	37
21	30
23	48
26	19
27	17
0	11
47	6
13	0
0	5
14	11
35	11
34	43
19	33
12	42
48	47
6	24
22	14
44	23
19	24
27	44
1	40
43	38
41	10
42	37
0	31
23	32
38	20
23	47
42	7
27	0
34	13
39	38
39	29
44	15
4	48
22	25
12	39
39	30
32	10
28	11
36	27
41	40
45	11
21	24
12	26
34	12
32	19
21	12
16	41
28	16
21	22
11	12
10	49
43	37
38	0
38	13
28	38
47	1
36	42
45	48
44	29
7	2
4	9
31	12
15	34
16	32
5	25
20	16
42	23
2	19
7	45
41	3
18	13
30	9
37	48
48	16
24	39
9	36
38	23
34	25
3	24
8	40
37	13
29	31
41	36
39	43
